model_name,game_type_id,unit_size_min,unit_size_max,faction
Blood Warriors,1,10,20,Blades of Khorne
Bloodletters,1,10,20,Blades of Khorne
Bloodreavers,1,10,20,Blades of Khorne
Claws of Karanak,1,8,8,Blades of Khorne
Skullreapers,1,5,10,Blades of Khorne
Wrathmongers,1,5,10,Blades of Khorne
Bloodcrushers,1,3,6,Blades of Khorne
Mighty Skullcrushers,1,3,6,Blades of Khorne
Flesh Hounds,1,5,10,Blades of Khorne
Khorgorath,1,1,1,Blades of Khorne
Skull Cannon,1,1,1,Blades of Khorne
Skull Altar,1,1,1,Blades of Khorne
Bleeding Icon,1,1,1,Blades of Khorne
Hexgorger Skulls,1,2,2,Blades of Khorne
Wrath-Axe,1,1,1,Blades of Khorne
Maniak Weirdnob,1,1,1,Bonesplitterz
Savage Big Boss,1,1,1,Bonesplitterz
Cities of Sigmar,1,1,1,Bonesplitterz
Wurrgog Prophet,1,1,1,Bonesplitterz
Savage Big Stabbas,1,2,4,Bonesplitterz
Savage Orruk Arrowboys,1,10,20,Bonesplitterz
Savage Orruk Morboyz,1,10,20,Bonesplitterz
Savage Orruks,1,10,20,Bonesplitterz
Savage Boarboy Maniaks,1,5,10,Bonesplitterz
Savage Boarboys,1,5,10,Bonesplitterz
Alchemite Warforger,1,1,1,Cities of Sigmar
Assassin,1,1,1,Cities of Sigmar
Battlemage,1,1,1,Cities of Sigmar
Battlemage on Celestial Hurricanum,1,1,1,Cities of Sigmar
Battlemage on Griffon,1,1,1,Cities of Sigmar
Battlemage on Luminark of Hysh,1,1,1,Cities of Sigmar
Black Ark Fleetmaster,1,1,1,Cities of Sigmar
Callis and Toll,1,1,1,Cities of Sigmar
Cogsmith,1,1,1,Cities of Sigmar
Doralia ven Denst,1,1,1,Cities of Sigmar
Dreadlord on Black Dragon,1,1,1,Cities of Sigmar
Freeguild Cavalier-Marshal,1,1,1,Cities of Sigmar
Freeguild Marshal and Relic Envoy,1,1,1,Cities of Sigmar
Freeguild Marshal on Griffon,1,1,1,Cities of Sigmar
Fusil-Major on Ogor Warhulk,1,1,1,Cities of Sigmar
Galen ven Denst,1,1,1,Cities of Sigmar
"Pontifex Zenestra, Matriach of the Great Wheel",1,1,1,Cities of Sigmar
Runelord,1,1,1,Cities of Sigmar
Sorceress,1,1,1,Cities of Sigmar
Sorceress on Black Dragon,1,1,1,Cities of Sigmar
Steam Tank Commander,1,1,1,Cities of Sigmar
"Tahlia Vedra, Lioness of the Parch",1,1,1,Cities of Sigmar
Warden King,1,1,1,Cities of Sigmar
Black Ark Corsairs,1,10,20,Cities of Sigmar
Black Guard,1,10,20,Cities of Sigmar
Bleakswords,1,10,20,Cities of Sigmar
Darkshards,1,10,20,Cities of Sigmar
Dreadspears,1,10,20,Cities of Sigmar
Executioners,1,10,20,Cities of Sigmar
Flagellants,1,10,20,Cities of Sigmar
Freeguild Command Corps,1,6,6,Cities of Sigmar
Freeguild Fusiliers,1,10,20,Cities of Sigmar
Freeguild Steelhelms,1,10,20,Cities of Sigmar
Hammerers,1,10,20,Cities of Sigmar
Ironbreakers,1,10,20,Cities of Sigmar
Irondrakes,1,10,20,Cities of Sigmar
Longbeards,1,10,20,Cities of Sigmar
Toll's Companions,1,4,4,Cities of Sigmar
Wildercorps Hunters,1,11,11,Cities of Sigmar
Dark Riders,1,5,10,Cities of Sigmar
Drakespawn Knights,1,5,10,Cities of Sigmar
Freeguild Cavaliers,1,5,10,Cities of Sigmar
Karibdyss,1,1,1,Cities of Sigmar
War Hydra,1,1,1,Cities of Sigmar
Celestial Hurricanum,1,1,1,Cities of Sigmar
Drakespawn Chariot,1,1,1,Cities of Sigmar
Gyrobomber,1,1,1,Cities of Sigmar
Gyrocopter,1,1,1,Cities of Sigmar
Ironweld Great Cannon,1,1,1,Cities of Sigmar
Luminark of Hysh,1,1,1,Cities of Sigmar
Scourgerunner Chariot,1,1,1,Cities of Sigmar
Steam Tank,1,1,1,Cities of Sigmar
Bloodwrack Medusa,1,1,1,Daughters of Khaine
Bloodwrack Shrine,1,1,1,Daughters of Khaine
Hag Queen,1,1,1,Daughters of Khaine
Hag Queen on Cauldron of Blood,1,1,1,Daughters of Khaine
High Gladiatrix,1,1,1,Daughters of Khaine
Krethusa the Croneseer,1,1,1,Daughters of Khaine
Melusai Ironscale,1,1,1,Daughters of Khaine
Morathi-Khaine,1,1,1,Daughters of Khaine
Slaughter Queen,1,1,1,Daughters of Khaine
Slaughter Queen on Cauldron of Blood,1,1,1,Daughters of Khaine
The Shadow Queen,1,1,1,Daughters of Khaine
Blood Sisters,1,5,10,Daughters of Khaine
Blood Stalkers,1,5,10,Daughters of Khaine
Khainite Shadowstalkers,1,9,9,Daughters of Khaine
Khinerai Heartrenders,1,5,10,Daughters of Khaine
Khinerai Lifetakers,1,5,10,Daughters of Khaine
Sisters of Slaughter with Bladed Bucklers,1,10,20,Daughters of Khaine
Sisters of Slaughter with Sacrificial Knives,1,10,20,Daughters of Khaine
Witch Aelves with Bladed Bucklers,1,10,20,Daughters of Khaine
Witch Aelves with Paired Sciansa,1,10,20,Daughters of Khaine
Doomfire Warlocks,1,5,10,Daughters of Khaine
Avatar of Khaine,1,1,1,Daughters of Khaine
Bladewind,1,1,1,Daughters of Khaine
Bloodwrack Viper,1,1,1,Daughters of Khaine
Heart of Fury,1,1,1,Daughters of Khaine
"Changecaster, Herald of Tzeentch",1,1,1,Disciples of Tzeentch
"Curseling, Eye of Tzeentch",1,1,1,Disciples of Tzeentch
"Fateskimmer, Herald of Tzeentch on Burning Chariot",1,1,1,Disciples of Tzeentch
Gaunt Summoner,1,1,1,Disciples of Tzeentch
Gaunt Summoner on Disc of Tzeentch,1,1,1,Disciples of Tzeentch
Kairos Fateweaver,1,1,1,Disciples of Tzeentch
Lord of Change,1,1,1,Disciples of Tzeentch
Magister,1,1,1,Disciples of Tzeentch
Magister on Disc of Tzeentch,1,1,1,Disciples of Tzeentch
Ogroid Thaumaturge,1,1,1,Disciples of Tzeentch
The Changeling,1,1,1,Disciples of Tzeentch
Tzaangor Shaman,1,1,1,Disciples of Tzeentch
Blue Horrors and Brimstone Horrors,1,10,20,Disciples of Tzeentch
Exalted Flamer of Tzeentch,1,1,1,Disciples of Tzeentch
Flamers of Tzeentch,1,3,6,Disciples of Tzeentch
Jade Obelisk,1,10,10,Disciples of Tzeentch
Kairic Acolytes,1,10,20,Disciples of Tzeentch
Pink Horrors,1,10,20,Disciples of Tzeentch
Tzaangor Enlightened,1,3,6,Disciples of Tzeentch
Tzaangors,1,10,20,Disciples of Tzeentch
Tzaangor Enlightened on Discs of Tzeentch,1,3,6,Disciples of Tzeentch
Tzaangor Skyfires,1,3,6,Disciples of Tzeentch
Chaos Spawn of Tzeentch,1,1,1,Disciples of Tzeentch
Screamers of Tzeentch,1,3,6,Disciples of Tzeentch
Burning Chariot of Tzeentch,1,1,1,Disciples of Tzeentch
Burning Sigil of Tzeentch,1,1,1,Disciples of Tzeentch
Daemonic Simulacrum,1,1,1,Disciples of Tzeentch
Tome of Eyes,1,1,1,Disciples of Tzeentch
Abhorrant Archregent,1,1,1,Flesh-Eater Courts
Abhorrant Cardinal,1,1,1,Flesh-Eater Courts
Abhorrant Ghoul King,1,1,1,Flesh-Eater Courts
Abhorrant Ghoul King on Royal Terrorgheist,1,1,1,Flesh-Eater Courts
Abhorrant Ghoul King on Royal Zombie Dragon,1,1,1,Flesh-Eater Courts
Abhorrant Gorewarden,1,1,1,Flesh-Eater Courts
Crypt Haunt Courtier,1,1,1,Flesh-Eater Courts
Crypt Infernal Courtier,1,1,1,Flesh-Eater Courts
Grand Justice Gormayne,1,1,1,Flesh-Eater Courts
Marrowscroll Herald,1,1,1,Flesh-Eater Courts
"Nagash, Supreme Lord of the Undead",1,1,1,Flesh-Eater Courts
Royal Decapitator,1,1,1,Flesh-Eater Courts
"Ushoran, Mortarch of Delusion",1,1,1,Flesh-Eater Courts
Varghulf Courtier,1,1,1,Flesh-Eater Courts
Crypt Flayers,1,1,2,Flesh-Eater Courts
Crypt Ghouls,1,20,40,Flesh-Eater Courts
Crypt Horrors,1,1,2,Flesh-Eater Courts
Cryptguard,1,10,20,Flesh-Eater Courts
Royal Beastflayers,1,10,10,Flesh-Eater Courts
Morbheg Knights,1,3,6,Flesh-Eater Courts
Royal Terrorgheist,1,1,1,Flesh-Eater Courts
Royal Zombie Dragon,1,1,1,Flesh-Eater Courts
Charnel Throne,1,1,1,Flesh-Eater Courts
Cadaverous Barricade,1,1,1,Flesh-Eater Courts
Chalice of Ushoran,1,1,1,Flesh-Eater Courts
Corpsemare Stampede,1,1,1,Flesh-Eater Courts
Auric Flamekeeper,1,1,1,Fyreslayers
Auric Runefather,1,1,1,Fyreslayers
Auric Runefather on Magmadroth,1,1,1,Fyreslayers
Auric Runemaster,1,1,1,Fyreslayers
Auric Runesmiter,1,1,1,Fyreslayers
Auric Runesmiter on Magmadroth,1,1,1,Fyreslayers
Auric Runeson,1,1,1,Fyreslayers
Auric Runeson on Magmadroth,1,1,1,Fyreslayers
Battlesmith,1,1,1,Fyreslayers
Doomseeker,1,1,1,Fyreslayers
Grimhold Exile,1,1,1,Fyreslayers
Grimwrath Berzerker,1,1,1,Fyreslayers
Auric Hearthguard,1,5,10,Fyreslayers
Hearthguard Berzerker with Berzerker Broadaxes,1,5,10,Fyreslayers
Hearthguard Berzerkers with Flamestrike Poleaxes,1,5,10,Fyreslayers
Vulkite Berzerkers with Bladed Slingshields,1,10,20,Fyreslayers
Vulkite Berzerkers with Fyresteel Weapons,1,10,20,Fyreslayers
Vulkyn Flameseekers,1,9,9,Fyreslayers
Magmic Battleforge,1,1,1,Fyreslayers
Molten Infernoth,1,1,1,Fyreslayers
Runic Fyrewall,1,1,1,Fyreslayers
Zharrgron Flame-spitter,1,1,1,Fyreslayers
Dankhold Troggboss,1,1,1,Gloomspite Gitz
Fungoid Cave-Shaman,1,1,1,Gloomspite Gitz
"Kragnos, the End of Empires",1,1,1,Gloomspite Gitz
Loonboss,1,1,1,Gloomspite Gitz
Loonboss on Giant Cave Squig,1,1,1,Gloomspite Gitz
Loonboss on Mangler Squigs,1,1,1,Gloomspite Gitz
Rabble-Rowza,1,1,1,Gloomspite Gitz
"Skragrott, the Loonking",1,1,1,Gloomspite Gitz
Squigboss with Gnasha-Squig,1,1,1,Gloomspite Gitz
"Trugg, the Troggoth King",1,1,1,Gloomspite Gitz
Webspinner Shaman,1,1,1,Gloomspite Gitz
Webspinner Shaman on Arachnarok Spider,1,1,1,Gloomspite Gitz
Fellwater Troggoths,1,3,6,Gloomspite Gitz
Gobbapalooza,1,5,5,Gloomspite Gitz
Loonsmasha Fanatics,1,5,10,Gloomspite Gitz
Moonclan Shootas,1,20,40,Gloomspite Gitz
Moonclan Stabbas,1,20,40,Gloomspite Gitz
Rockgut Troggoths,1,3,6,Gloomspite Gitz
Sneaky Snufflers,1,6,12,Gloomspite Gitz
Sporesplatta Fanatics,1,5,10,Gloomspite Gitz
Boingrot Bounderz,1,5,10,Gloomspite Gitz
Snarlfang Riders,1,5,10,Gloomspite Gitz
Spider Riders,1,5,10,Gloomspite Gitz
Squig Hoppers,1,10,20,Gloomspite Gitz
Squig Herd,1,12,24,Gloomspite Gitz
Arachnarok Spider with Flinger,1,1,1,Gloomspite Gitz
Arachnarok Spider with Spiderfang Warparty,1,1,1,Gloomspite Gitz
Dankhold Troggoth,1,1,1,Gloomspite Gitz
Mangler Squigs,1,1,1,Gloomspite Gitz
Skitterstrand Arachnarok,1,1,1,Gloomspite Gitz
Bad Moon Loonshrine,1,1,1,Gloomspite Gitz
Malevolent Moon,1,1,1,Gloomspite Gitz
Mork's Mighty Mushroom,1,1,1,Gloomspite Gitz
Scrapskuttle's Arachnacauldron,1,1,1,Gloomspite Gitz
Scuttletide,1,1,1,Gloomspite Gitz
"Bladebringer, Herald on Exalted Chariot",1,1,1,Hedonites of Slaanesh
Contorted Epitome,1,1,1,Hedonites of Slaanesh
"Dexcessa, The Talon of Slaanesh",1,1,1,Hedonites of Slaanesh
"Glutos Orscollion, Lord of Gluttony",1,1,1,Hedonites of Slaanesh
"Infernal Enrapturess, Herald of Slaanesh",1,1,1,Hedonites of Slaanesh
Keeper of Secrets,1,1,1,Hedonites of Slaanesh
Lord of Hubris,1,1,1,Hedonites of Slaanesh
Lord of Pain,1,1,1,Hedonites of Slaanesh
Shalaxi Helbane,1,1,1,Hedonites of Slaanesh
Shardspeaker of Slaanesh,1,1,1,Hedonites of Slaanesh
"Sigvald, Prince of Slaanesh",1,1,1,Hedonites of Slaanesh
"Syll'Esske, the Vengeful Allegiance",1,1,1,Hedonites of Slaanesh
"Synessa, the Voice of Slaanesh",1,1,1,Hedonites of Slaanesh
The Masque,1,1,1,Hedonites of Slaanesh
Blissbarb Archers,1,10,20,Hedonites of Slaanesh
Daemonettes,1,10,20,Hedonites of Slaanesh
Mymidesh Painbringers,1,5,10,Hedonites of Slaanesh
Slaangor Fiendbloods,1,3,6,Hedonites of Slaanesh
Symbaresh Twinsouls,1,5,10,Hedonites of Slaanesh
Blissbarb Seekers,1,5,10,Hedonites of Slaanesh
Hellstriders,1,5,10,Hedonites of Slaanesh
Seekers,1,5,10,Hedonites of Slaanesh
Slickblade Seekers,1,5,10,Hedonites of Slaanesh
Fiends,1,3,6,Hedonites of Slaanesh
Hellflayer,1,1,1,Hedonites of Slaanesh
Seeker Chariot,1,1,1,Hedonites of Slaanesh
Fane of Slaanesh,1,1,1,Hedonites of Slaanesh
Dreadful Visage,1,1,1,Hedonites of Slaanesh
Mesmerising Mirror,1,1,1,Hedonites of Slaanesh
Wheels of Excrutiation,1,1,1,Hedonites of Slaanesh
Akhelian King,1,1,1,Idoneth Deepkin
Akhelian Thrallmaster,1,1,1,Idoneth Deepkin
"Eidolon of Mathlann, Aspect of the Sea",1,1,1,Idoneth Deepkin
"Eidolon of Mathlann, Aspect of the Storm",1,1,1,Idoneth Deepkin
Isharann Soulrender,1,1,1,Idoneth Deepkin
Isharann Soulscryer,1,1,1,Idoneth Deepkin
Isharann Tidecaster,1,1,1,Idoneth Deepkin
"Lotann, Warden of the Soul Ledgers",1,1,1,Idoneth Deepkin
"Volturnos, High King of the Deep",1,1,1,Idoneth Deepkin
Namarti Reavers,1,10,20,Idoneth Deepkin
Namarti Thralls,1,10,20,Idoneth Deepkin
Akhelian Allopex,1,1,1,Idoneth Deepkin
Akhelian Ishlaen Guard,1,3,6,Idoneth Deepkin
Akhelian Morrsarr Guard,1,3,6,Idoneth Deepkin
Akhelian Leviadon,1,1,1,Idoneth Deepkin
Gloomtide Shipwreck,1,1,1,Idoneth Deepkin
Aether-Khemist,1,1,1,Kharadron Overlords
Aetheric Navigator,1,1,1,Kharadron Overlords
Arkanaut Admiral,1,1,1,Kharadron Overlords
"Brokk Grungsson, Lord-Magnate of Barak-Nar",1,1,1,Kharadron Overlords
Codewright,1,1,1,Kharadron Overlords
Drekki Flynt,1,1,1,Kharadron Overlords
Endrinmaster with Dirigible Suit,1,1,1,Kharadron Overlords
Endrinmaster with Endrinharness,1,1,1,Kharadron Overlords
Arkanaut Company,1,10,20,Kharadron Overlords
Endrinriggers,1,3,6,Kharadron Overlords
Grunstok Thunderers,1,5,10,Kharadron Overlords
Skywardens,1,3,6,Kharadron Overlords
Arkanaut Frigate,1,1,1,Kharadron Overlords
Arkanaut Ironclad,1,1,1,Kharadron Overlords
Grunstock Gunhauler,1,1,1,Kharadron Overlords
Alarith Stonemage,1,1,1,Lumineth Realm-Lords
"Archmage Teclis and Celennar, Spirit of Hysh",1,1,1,Lumineth Realm-Lords
"Avalenor, The Stoneheart King",1,1,1,Lumineth Realm-Lords
"Ellania and Ellathor, Eclipsian Warsages",1,1,1,Lumineth Realm-Lords
Hurakan Windmage,1,1,1,Lumineth Realm-Lords
"Lyrior Uthralle, Warden of Ymetrica",1,1,1,Lumineth Realm-Lords
Scinari Calligrave,1,1,1,Lumineth Realm-Lords
Scinari Cathallar,1,1,1,Lumineth Realm-Lords
Scinari Enlightener,1,1,1,Lumineth Realm-Lords
Scinari Loreseeker,1,1,1,Lumineth Realm-Lords
"Sevireth, Lord of the Seventh Wind",1,1,1,Lumineth Realm-Lords
The Light of Eltharion,1,1,1,Lumineth Realm-Lords
Vanari Bannerblade,1,1,1,Lumineth Realm-Lords
Vanari Lord Regent,1,1,1,Lumineth Realm-Lords
Alarith Stoneguard,1,5,10,Lumineth Realm-Lords
Vanari Auralan Sentinels,1,10,20,Lumineth Realm-Lords
Vanari Auralan Wardens,1,10,20,Lumineth Realm-Lords
Vanari Bladelords,1,5,10,Lumineth Realm-Lords
Ydrilan Riverblades,1,10,10,Lumineth Realm-Lords
Hurakan Windchargers,1,5,10,Lumineth Realm-Lords
Vanari Dawnriders,1,5,10,Lumineth Realm-Lords
Alarith Spirit of the Mountain,1,1,1,Lumineth Realm-Lords
Hurakan Spirit of the Wind,1,1,1,Lumineth Realm-Lords
Vanari Starshard Ballista,1,1,1,Lumineth Realm-Lords
Shrine Luminor,1,1,1,Lumineth Realm-Lords
Hyshian Twinstones,1,1,1,Lumineth Realm-Lords
Rune of Petrification,1,1,1,Lumineth Realm-Lords
Sanctum of Amyntok,1,1,1,Lumineth Realm-Lords
Bloat Rotspawned,1,1,1,Maggotkin of Nurgle
Great Unclean One,1,1,1,Maggotkin of Nurgle
Gutrot Spume,1,1,1,Maggotkin of Nurgle
Harbringer of Decay,1,1,1,Maggotkin of Nurgle
Horticulous Slimux,1,1,1,Maggotkin of Nurgle
Lord of Afflictions,1,1,1,Maggotkin of Nurgle
Lord of Blights,1,1,1,Maggotkin of Nurgle
Lord of Plagues,1,1,1,Maggotkin of Nurgle
Morbidex Twiceborn,1,1,1,Maggotkin of Nurgle
Orghotts Daemonspew,1,1,1,Maggotkin of Nurgle
"Poxbringer, Herald of Nurgle",1,1,1,Maggotkin of Nurgle
Rotbringer Sorcerer,1,1,1,Maggotkin of Nurgle
Rotigus,1,1,1,Maggotkin of Nurgle
"Sloppity Bilepiper, Herald of Nurgle",1,1,1,Maggotkin of Nurgle
"Spoilbox Scrivener, Herald of Nurgle",1,1,1,Maggotkin of Nurgle
The Glottkin,1,1,1,Maggotkin of Nurgle
Nurglings,1,3,6,Maggotkin of Nurgle
Plaguebuearers,1,10,20,Maggotkin of Nurgle
Putrid Blightkings,1,5,10,Maggotkin of Nurgle
Rotmire Creed,1,10,10,Maggotkin of Nurgle
Plague Drones,1,3,6,Maggotkin of Nurgle
Pusgoyle Blightlords,1,1,2,Maggotkin of Nurgle
Beasts of Nurgle,1,1,1,Maggotkin of Nurgle
Fuclent Gnarlmaw,1,1,1,Maggotkin of Nurgle
Awlrach the Drowner,1,1,1,Nighthaunt
Cairn Wraith,1,1,1,Nighthaunt
Guardian of Souls,1,1,1,Nighthaunt
Knight of Shrouds,1,1,1,Nighthaunt
Knight of Shrouds on Ethereal Steed,1,1,1,Nighthaunt
Krulghast Cruciator,1,1,1,Nighthaunt
"Kurdoss Valentian, the Craven King",1,1,1,Nighthaunt
"Lady Olynder, Mortarch of Grief",1,1,1,Nighthaunt
Lord Executioner,1,1,1,Nighthaunt
"Nagash, Supreme Lord of the Undead",1,1,1,Nighthaunt
Reikenor the Grimhailer,1,1,1,Nighthaunt
Scriptor Mortis,1,1,1,Nighthaunt
Spirit Torment,1,1,1,Nighthaunt
Tomb Banshee,1,1,1,Nighthaunt
Bladegheist Revenants,1,10,20,Nighthaunt
Chainghasts,1,2,2,Nighthaunt
Chainrasps,1,10,20,Nighthaunt
Craventhrone Guard,1,5,10,Nighthaunt
Dreadscythe Harridans,1,10,20,Nighthaunt
Glaivewraith Stalkers,1,4,8,Nighthaunt
Grimghast Reapers,1,10,20,Nighthaunt
Myrmourn Banshees,1,4,8,Nighthaunt
Pyregheists,1,8,8,Nighthaunt
Spirit Hosts,1,3,6,Nighthaunt
Dreadblade Harrows,1,2,4,Nighthaunt
Hexwraiths,1,5,10,Nighthaunt
Black Coach,1,1,1,Nighthaunt
Mortalis Terminexus,1,1,1,Nighthaunt
Shyish Reaper,1,1,1,Nighthaunt
Vault of Souls,1,1,1,Nighthaunt
Bloodpelt Hunter,1,1,1,Ogor Mawtribes
Butcher,1,1,1,Ogor Mawtribes
Firebelly,1,1,1,Ogor Mawtribes
Frostlord on Stonehorn,1,1,1,Ogor Mawtribes
Frostlord on Thundertusk,1,1,1,Ogor Mawtribes
Huskard on Stonehorn,1,1,1,Ogor Mawtribes
Huskard on Thundertusk,1,1,1,Ogor Mawtribes
Icebrow Hunter,1,1,1,Ogor Mawtribes
"Kragnos, the End of Empires",1,1,1,Ogor Mawtribes
Slaughtermaster,1,1,1,Ogor Mawtribes
Tyrant,1,1,1,Ogor Mawtribes
Gnoblars,1,20,40,Ogor Mawtribes
Gorger Mawpack,1,5,5,Ogor Mawtribes
Icefall Yhetees,1,3,6,Ogor Mawtribes
Ironguts,1,4,8,Ogor Mawtribes
Leadbelchers,1,4,8,Ogor Mawtribes
Maneaters,1,3,6,Ogor Mawtribes
Ogor Gluttons,1,6,12,Ogor Mawtribes
Mournfang Pack,1,2,4,Ogor Mawtribes
Frost Sabres,1,2,4,Ogor Mawtribes
Stonehorn Beastriders,1,1,1,Ogor Mawtribes
Thundertusk Beastriders,1,1,1,Ogor Mawtribes
Gnoblar Scraplauncher,1,1,1,Ogor Mawtribes
Ironblaster,1,1,1,Ogor Mawtribes
Great Mawpot,1,1,1,Ogor Mawtribes
Mawpit,1,1,1,Ogor Mawtribes
Ardboy Big Boss,1,1,1,Orruk Warclans
Breaka-boss on Mirebrute Troggoth,1,1,1,Orruk Warclans
"Gobsprakk, the Mouth of Mork",1,1,1,Orruk Warclans
"Gordrakk, the Fist of Gork",1,1,1,Orruk Warclans
Killaboss on Great Gnashtoof,1,1,1,Orruk Warclans
Killaboss with Stab-grot,1,1,1,Orruk Warclans
"Kragnos, the End of Empires",1,1,1,Orruk Warclans
Megaboss,1,1,1,Orruk Warclans
Megaboss on Maw-Krusha,1,1,1,Orruk Warclans
Murknob with Belcha-banna,1,1,1,Orruk Warclans
Snatchaboss on Sludgeraker Beast,1,1,1,Orruk Warclans
Swampboss Skumdrekk,1,1,1,Orruk Warclans
Swampcalla Shaman with Pot-grot,1,1,1,Orruk Warclans
Tuskboss on Maw-grunta,1,1,1,Orruk Warclans
Warchanter,1,1,1,Orruk Warclans
Weirdnob Shaman,1,1,1,Orruk Warclans
Zoggrok Anvilsmasha,1,1,1,Orruk Warclans
Ardboyz,1,10,20,Orruk Warclans
Brute Ragerz,1,3,6,Orruk Warclans
Brutes,1,5,10,Orruk Warclans
Gutrippaz,1,10,20,Orruk Warclans
Hobgrot Slittaz,1,10,20,Orruk Warclans
Kruleboyz Monsta-killaz,1,7,7,Orruk Warclans
Man-skewer Boltboyz,1,3,6,Orruk Warclans
Weirdbrute Wrekkaz,1,3,6,Orruk Warclans
Gore-gruntas,1,3,6,Orruk Warclans
Maw-grunta Gougers,1,1,1,Orruk Warclans
Maw-grunta with Hakkin' Krew,1,1,1,Orruk Warclans
Beast-skewer Killbow,1,1,1,Orruk Warclans
Marshcrawla Sloggoth,1,1,1,Orruk Warclans
Arch-Kavalos Zandtos,1,1,1,Ossiarch Bonereapers
"Arkhan the Black, Mortarch of Sacrament",1,1,1,Ossiarch Bonereapers
"Katakros, Mortarch of the Necropolis",1,1,1,Ossiarch Bonereapers
Liege-Kavalos,1,1,1,Ossiarch Bonereapers
Mortisan Boneshaper,1,1,1,Ossiarch Bonereapers
Mortisan Ossifector,1,1,1,Ossiarch Bonereapers
Mortisan Soulmason,1,1,1,Ossiarch Bonereapers
Mortisan Soulreaper,1,1,1,Ossiarch Bonereapers
"Nagash, Supreme Lord of the Undead",1,1,1,Ossiarch Bonereapers
"Vokmortian, Master of the Bone-tithe",1,1,1,Ossiarch Bonereapers
Immortis Guard,1,3,6,Ossiarch Bonereapers
Morghast Archai,1,2,4,Ossiarch Bonereapers
Morghast Harbingers,1,2,4,Ossiarch Bonereapers
Mortek Guard,1,10,20,Ossiarch Bonereapers
Necropolis Stalkers,1,3,6,Ossiarch Bonereapers
Teratic Cohort,1,8,8,Ossiarch Bonereapers
Kavalos Deathriders,1,5,10,Ossiarch Bonereapers
Gothizzar Harvester,1,1,1,Ossiarch Bonereapers
Mortek Crawler,1,1,1,Ossiarch Bonereapers
Bone-tithe Nexus,1,1,1,Ossiarch Bonereapers
Bone-tithe Shrieker,1,1,1,Ossiarch Bonereapers
Nightmare Predator,1,1,1,Ossiarch Bonereapers
Soulstealer Carrion,1,1,1,Ossiarch Bonereapers
Lord Kroak,1,1,1,Seraphon
Ripperdactyl Chief,1,1,1,Seraphon
Saurus Astrolith Bearer,1,1,1,Seraphon
Saurus Oldblood,1,1,1,Seraphon
Saurus Oldblood on Carnosaur,1,1,1,Seraphon
Saurus Scar-Veteran on Aggradon,1,1,1,Seraphon
Saurus Scar-Veteran on Carnosaur,1,1,1,Seraphon
Skink Oracle on Troglodon,1,1,1,Seraphon
Skink Starpriest,1,1,1,Seraphon
Skink Starseer,1,1,1,Seraphon
Slann Starmaster,1,1,1,Seraphon
Stegadon Chief,1,1,1,Seraphon
Terradon Chief,1,1,1,Seraphon
Hunters of Huanchi with Dartpipes,1,5,5,Seraphon
Hunters of Huanchi with Starstone Bolas,1,5,5,Seraphon
Kroxigor,1,3,6,Seraphon
Kroxigor Warspawned,1,3,6,Seraphon
